route_id,service_id,trip_id,trip_headsign,shape_id,block_id,direction_id
24-VIC,3240,11313761:10000266:10049169,Tillicum Ctr via Colville,21694,10049169,1
5-VIC,4461,11261026:10000267:10049710,Willows,23383,10049710,0
55-VIC,4460,11330081:10000269:10050696,William Head via Happy Valley,26324,10050696,1
75-VIC,4455,11084853:10000273:10049470,Downtown - Keating Industrial,18820,10049470,1
75-VIC,4450,11084853:10000273:10052027,Downtown - Keating Industrial,18820,10052027,1
32-VIC,4457,11322485:10000275:11184352,Cordova Bay,18608,11184352,0
5-VIC,4446,11039201:10000276:10051217,Willows,23383,10051217,0
6-VIC,4461,11261303:10000277:10051233,Downtown,18962,10051233,1
58-VIC,4444,11033168:10000279:10049733,Langford Exch via Westhills,18751,10049733,0
58-VIC,4439,11033168:10000279:10052713,Langford Exch via Westhills,18751,10052713,0
72-VIC,4462,11331828:10000281:10796251,Swartz Bay Ferry via Saanichton,18512,10796251,0
95-VIC,4439,11001916:10000283:10052534,Blink - to Langford,18836,10052534,1
95-VIC,4444,11001916:10000283:10052820,Blink - to Langford,18836,10052820,1
26-VIC,4457,11322286:10000284:11184025,Dockyard via McKenzie/Tillicum,40061,11184025,1
39-VIC,4459,11324999:10000285:11184566,to Royal Oak Exch only,18868,11184566,1
26-VIC,4460,11329438:10000292:11184460,UVic via Tillicum/McKenzie,31720,11184460,0
3-VIC,4445,11037575:10000293:10052138,Royal Jubilee via Quimper Loop,19489,10052138,1
95-VIC,4445,11035514:10000301:10051768,Blink - to Downtown,18717,10051768,0
8-VIC,4462,11332319:10000302:10051466,Oak Bay via Finlayson,26943,10051466,0
21-VIC,4457,11322591:10000304:11184685,Downtown - to 7 UVic,23385,11184685,1
21-VIC,4459,11325115:10000309:11184241,Downtown - to 7 UVic,23385,11184241,1
27-VIC,4450,11086327:10000310:10049701,Gordon Head via Shelbourne,26178,10049701,0
27-VIC,4455,11086327:10000310:10051285,Gordon Head via Shelbourne,26178,10051285,0
72-VIC,4446,11038714:10000312:10796216,Swartz Bay Ferry via Saanichton,18512,10796216,0
28-VIC,4450,11086392:10000323:10050992,Downtown,36290,10050992,1
28-VIC,4455,11086392:10000323:10052227,Downtown,36290,10052227,1
27-VIC,4430,11317248:10000325:10052644,to McKenzie only,36411,10052644,1
4-VIC,3240,11314096:10000326:10050693,UVic via Hillside,18645,10050693,0
57-VIC,4457,11322914:10000327:10050629,Thetis Heights via McCallum,22957,10050629,0
72-VIC,4461,11260550:10000328:10796385,Downtown via Saanichton,18716,10796385,1
28-VIC,4439,11028323:10000329:10050724,Downtown,36290,10050724,1
28-VIC,4444,11028323:10000329:10050936,Downtown,36290,10050936,1
14-VIC,4461,11261755:10000330:11183870,Vic General via Craigflower,40195,11183870,1
6-VIC,4457,11321498:10000332:10050890,Downtown,18962,10050890,1
32-VIC,4455,11084662:10000339:11184186,Royal Oak Exch,18626,11184186,1
32-VIC,4450,11084662:10000339:11184364,Royal Oak Exch,18626,11184364,1
21-VIC,4459,11325043:10000343:11184129,Downtown - to 7 UVic,23385,11184129,1
22-VIC,4459,11325035:10000345:10049032,Vic General via Hastings,36320,10049032,0
70-VIC,4430,11316000:10000346:10051505,Downtown via Hwy 17,18849,10051505,1
95-VIC,4457,11320875:10000347:11184227,Blink - to Langford,18836,11184227,1
95-VIC,4461,11260680:10000348:10049303,Blink - to Downtown,18717,10049303,0
24-VIC,4430,11318969:10000350:10051986,Cedar Hill via Cook North,19044,10051986,0
52-VIC,4460,11329939:10000353:10051823,Colwood Exch via Royal Bay,26436,10051823,0
70-VIC,4460,11328307:10000355:10051044,Downtown via Hwy 17,18849,10051044,1
81-VIC,4459,11324903:10000357:10049046,Brentwood via Lochside,26378,10049046,1
26-VIC,4445,11036815:10000358:10049011,Dockyard via McKenzie/Tillicum,40061,10049011,1
30-VIC,4460,11329075:10000359:10051131,Downtown,18838,10051131,1
6-VIC,4439,11064726:10000363:10049543,Royal Oak Exch via Royal Oak Ctr,18715,10049543,0
6-VIC,4444,11064726:10000363:10052420,Royal Oak Exch via Royal Oak Ctr,18715,10052420,0
75-VIC,4439,11032472:10000364:10051391,Saanichton Exch via Keating Industrial,18912,10051391,0
75-VIC,4444,11032472:10000364:10052506,Saanichton Exch via Keating Industrial,18912,10052506,0
31-VIC,4444,11032644:10000365:10795803,Downtown,18859,10795803,1
31-VIC,4439,11032644:10000365:10796026,Downtown,18859,10796026,1
8-VIC,4457,11321294:10000367:10051310,Tillicum Ctr via Finlayson,26916,10051310,1
60-VIC,4450,11085837:10000369:11026211,Langford Exch via Lagoon,19362,11026211,0
60-VIC,4455,11085837:10000369:11026332,Langford Exch via Lagoon,19362,11026332,0
14-VIC,4444,11045961:10000371:10051831,UVic via Richmond,26515,10051831,0
14-VIC,4439,11045961:10000371:10051940,UVic via Richmond,26515,10051940,0
2-VIC,4457,11321338:10000372:10052809,James Bay - Fisherman's Wharf,36544,10052809,1
95-VIC,4460,11328468:10000374:10051800,Blink - to Langford,18836,10051800,1
14-VIC,4430,11317944:10000378:11026187,UVic via Richmond,26515,11026187,0
4-VIC,4445,11036280:10000380:11184234,Downtown via Hillside,26927,11184234,1
2-VIC,4444,11032696:10000381:10049489,South Oak Bay,23427,10049489,0
2-VIC,4439,11032696:10000381:10052327,South Oak Bay,23427,10052327,0
27-VIC,4461,11260879:10000382:10049532,Downtown,36309,10049532,1
22-VIC,4445,11037220:10000383:10049728,Vic General via Hastings,36320,10049728,0
58-VIC,4444,11033172:10000384:10050159,Langford Exch via Westhills,18751,10050159,0
58-VIC,4439,11033172:10000384:10052654,Langford Exch via Westhills,18751,10052654,0
95-VIC,4430,11316812:10000385:10051098,Blink - to Langford,18836,10051098,1
60-VIC,4439,11033137:10000391:10049881,Langford Exch via Lagoon,19362,10049881,0
60-VIC,4444,11033137:10000391:10051124,Langford Exch via Lagoon,19362,10051124,0
95-VIC,4445,11035464:10000393:10051146,Blink - to Downtown,18717,10051146,0
88-VIC,3240,11314529:10000399:10049253,Airport,18544,10049253,1
26-VIC,3240,11314398:10000400:10052720,UVic via Tillicum/McKenzie,31720,10052720,0
95-VIC,4460,11328475:10000401:10052293,Blink - to Langford,18836,10052293,1
