service_id,date,exception_type
3240,20251111,1
4430,20251231,1
4437,20251109,1
4437,20251111,1
4437,20251116,1
4437,20251123,1
4437,20251130,1
4437,20251207,1
4438,20251110,1
4438,20251112,1
4438,20251113,1
4438,20251114,1
4438,20251117,1
4438,20251118,1
4438,20251119,1
4438,20251120,1
4438,20251121,1
4438,20251124,1
4438,20251125,1
4438,20251126,1
4438,20251127,1
4438,20251128,1
4438,20251201,1
4438,20251202,1
4438,20251203,1
4438,20251204,1
4438,20251205,1
4439,20251110,1
4439,20251112,1
4439,20251113,1
4439,20251117,1
4439,20251118,1
4439,20251119,1
4439,20251120,1
4439,20251124,1
4439,20251125,1
4439,20251126,1
4439,20251127,1
4439,20251201,1
4439,20251202,1
4439,20251203,1
4439,20251204,1
4440,20251110,1
4440,20251113,1
4440,20251117,1
4440,20251118,1
4440,20251120,1
4440,20251124,1
4440,20251125,1
4440,20251127,1
4440,20251201,1
4440,20251202,1
4440,20251204,1
4441,20251118,1
4441,20251125,1
4441,20251202,1
4442,20251110,1
4442,20251112,1
4442,20251113,1
4442,20251117,1
4442,20251119,1
4442,20251120,1
4442,20251124,1
4442,20251126,1
4442,20251127,1
4442,20251201,1
4442,20251203,1
4442,20251204,1
4443,20251112,1
4443,20251119,1
4443,20251126,1
4443,20251203,1
4444,20251114,1
4444,20251121,1
4444,20251128,1
4444,20251205,1
4445,20251115,1
4445,20251122,1
4445,20251129,1
4445,20251206,1
4446,20251109,1
4446,20251116,1
4446,20251123,1
4446,20251130,1
4446,20251207,1
4449,20251208,1
4449,20251209,1
4449,20251210,1
4449,20251211,1
4449,20251212,1
4449,20251215,1
4449,20251216,1
4449,20251217,1
4449,20251218,1
4449,20251219,1
4449,20251222,1
4449,20251223,1
4449,20251224,1
4449,20251229,1
4449,20251230,1
4449,20251231,1
4449,20260102,1
4450,20251208,1
4450,20251209,1
4450,20251210,1
4450,20251211,1
4450,20251215,1
4450,20251216,1
4450,20251217,1
4450,20251218,1
4450,20251222,1
4450,20251223,1
4450,20251224,1
4450,20251229,1
4450,20251230,1
4451,20251208,1
4451,20251209,1
4451,20251211,1
4451,20251215,1
4451,20251216,1
4451,20251218,1
4451,20251222,1
4451,20251223,1
4451,20251229,1
4451,20251230,1
4452,20251208,1
4452,20251210,1
4452,20251211,1
4452,20251215,1
4452,20251217,1
4452,20251218,1
4452,20251222,1
4452,20251224,1
4452,20251229,1
4453,20251209,1
4453,20251216,1
4453,20251223,1
4453,20251230,1
4454,20251210,1
4454,20251217,1
4454,20251224,1
4455,20251212,1
4455,20251219,1
4455,20260102,1
4456,20251213,1
4456,20251220,1
4456,20251226,1
4456,20251227,1
4456,20260103,1
4457,20251213,1
4457,20251220,1
4457,20251227,1
4457,20260103,1
4458,20251214,1
4458,20251221,1
4458,20251225,1
4458,20251228,1
4458,20260101,1
4458,20260104,1
4459,20251214,1
4459,20251221,1
4459,20251228,1
4459,20260104,1
4460,20251225,1
4461,20251226,1
4462,20260101,1
